EXEC_FULLNAME,CFOANN,CO_PER_ROL,CEOANN,SALARY,BONUS,AGE,TDC1,GVKEY,YEAR,GENDER,TICKER
Timothy D. Cook,,15741,CEO,2000,0,54,10281.327,001690,2015,MALE,AAPL
D. Bruce Sewell,,43045,,1000,0,57,25017.626,001690,2015,MALE,AAPL
Eduardo H. Cue,,44775,,1000,0,51,25052.241,001690,2015,MALE,AAPL
Daniel J. Riccio,,48102,,1000,0,52,25017.626,001690,2015,MALE,AAPL
Angela J. Ahrendts,,49822,,1000,0,54,25779.229,001690,2015,FEMALE,AAPL
Luca Maestri,CFO,49823,,1000,0,51,25337.977,001690,2015,MALE,AAPL
Timothy D. Cook,,15741,CEO,3000,0,55,8747.719,001690,2016,MALE,AAPL
D. Bruce Sewell,,43045,,1000,0,58,22807.544,001690,2016,MALE,AAPL
Eduardo H. Cue,,44775,,1000,0,52,22807.544,001690,2016,MALE,AAPL
Daniel J. Riccio,,48102,,1000,0,53,22807.544,001690,2016,MALE,AAPL
Angela J. Ahrendts,,49822,,1000,0,55,22902.892,001690,2016,FEMALE,AAPL
Luca Maestri,CFO,49823,,1000,0,52,22803.569,001690,2016,MALE,AAPL
Timothy D. Cook,,15741,CEO,3057.692,0,56,12825.066,001690,2017,MALE,AAPL
D. Bruce Sewell,,43045,,1019.231,0,59,24146.046,001690,2017,MALE,AAPL
Daniel J. Riccio,,48102,,1019.231,0,54,24146.046,001690,2017,MALE,AAPL
Angela J. Ahrendts,,49822,,1019.231,0,56,24216.072,001690,2017,FEMALE,AAPL
Luca Maestri,CFO,49823,,1019.231,0,53,24141.615,001690,2017,MALE,AAPL
Johny Srouji,,55838,,1019.231,0,52,24162.392,001690,2017,MALE,AAPL
Timothy D. Cook,,15741,CEO,3000,0,57,15682.219,001690,2018,MALE,AAPL
Jeffrey E. Williams,,46414,,1000,0,54,26543.706,001690,2018,MALE,AAPL
Angela J. Ahrendts,,49822,,1000,0,57,26538.83,001690,2018,FEMALE,AAPL
Luca Maestri,CFO,49823,,1000,0,54,26509.692,001690,2018,MALE,AAPL
Katherine L. Adams,,60877,,884.615,0,54,26700.66,001690,2018,FEMALE,AAPL
Timothy D. Cook,,15741,CEO,3000,0,58,11555.466,001690,2019,MALE,AAPL
Jeffrey E. Williams,,46414,,1000,0,55,25207.919,001690,2019,MALE,AAPL
Angela J. Ahrendts,,49822,,630.361,0,58,22278.242,001690,2019,FEMALE,AAPL
Luca Maestri,CFO,49823,,1000,0,55,25209.637,001690,2019,MALE,AAPL
Katherine L. Adams,,60877,,1000,0,55,25231.8,001690,2019,FEMALE,AAPL
Deirdre OBrien,,62858,,877.5,0,52,19159.78,001690,2019,FEMALE,AAPL
Andy D. Bryant,,21561,,790,0,65,6964.5,006008,2015,MALE,INTC
Stacy J. Smith,CFO,34216,,775,0,52,7094.3,006008,2015,MALE,INTC
Brian Matthew Krzanich,,47026,CEO,1100,0,55,14633.5,006008,2015,MALE,INTC
Renee J. James,,47027,,850,0,50,8808.1,006008,2015,FEMALE,INTC
William M. Holt,,50532,,650,0,62,5501.4,006008,2015,MALE,INTC
Andy D. Bryant,,21561,,611.8,0,66,4057,006008,2016,MALE,INTC
Stacy J. Smith,CFO,34216,,800,0,53,7786.9,006008,2016,MALE,INTC
Brian Matthew Krzanich,,47026,CEO,1250,0,56,19076,006008,2016,MALE,INTC
William M. Holt,,50532,,327.3,0,63,6004.9,006008,2016,MALE,INTC
Gregory R. Pearson,,54619,,545,0,55,4540.1,006008,2016,MALE,INTC
Diane M. Bryant,,54620,,618.7,400,54,6418.1,006008,2016,FEMALE,INTC
Venkata S. Murthy Renduchintala,,54621,,900,2700,51,20447.7,006008,2016,MALE,INTC
Robert H. Swan,,54622,,194.8,2750,56,12212.9,006008,2016,MALE,INTC
Andy D. Bryant,,21561,,500,0,67,3836.3,006008,2017,MALE,INTC
Stacy J. Smith,,34216,,833.6,0,54,4404.7,006008,2017,MALE,INTC
Brian Matthew Krzanich,,47026,CEO,1380,0,57,21527.7,006008,2017,MALE,INTC
Diane M. Bryant,,54620,,776.8,0,55,7779.6,006008,2017,FEMALE,INTC
Venkata S. Murthy Renduchintala,,54621,,954,2700,52,13818.6,006008,2017,MALE,INTC
Robert H. Swan,CFO,54622,,850,1750,57,11114.7,006008,2017,MALE,INTC
Navin Shenoy,,58746,,658.3,2000,43,15289.9,006008,2017,MALE,INTC
Brian Matthew Krzanich,,47026,,694,0,58,18008.3,006008,2018,MALE,INTC
Venkata S. Murthy Renduchintala,,54621,,1008,0,53,13132.2,006008,2018,MALE,INTC
Robert H. Swan,CFO,54622,CEO,898,2500,58,16706.7,006008,2018,MALE,INTC
Navin Shenoy,,58746,,793,0,44,10365.3,006008,2018,MALE,INTC
Steven R. Rodgers,,61600,,800,0,52,16211.9,006008,2018,MALE,INTC
Venkata S. Murthy Renduchintala,,54621,,1056.8,0,54,20105.4,006008,2019,MALE,INTC
Robert H. Swan,,54622,CEO,1227.3,0,59,49835.1,006008,2019,MALE,INTC
Navin Shenoy,,58746,,850,0,45,18001.1,006008,2019,MALE,INTC
Steven R. Rodgers,,61600,,833,0,53,3612.6,006008,2019,MALE,INTC
Todd M. Underwood,,63582,,375.3,0,49,6353.1,006008,2019,MALE,INTC
George S. Davis,CFO,63583,,668.2,2000,61,29219.1,006008,2019,MALE,INTC
Gregory M. Bryant,,63584,,635.9,0,50,11211.1,006008,2019,MALE,INTC
Virginia M. Rometty,,36942,CEO,1550,0,56,19821.95,006066,2015,FEMALE,IBM
"John E. Kelly, III, Ph.D.",,48416,,675.5,0,61,13597.402,006066,2015,MALE,IBM
Martin J. Schroeter,CFO,50060,,692.5,0,51,13111.057,006066,2015,MALE,IBM
Michael D. Rhodin,,52027,,630,0,54,15550.165,006066,2015,MALE,IBM
Bridget A. van Kralingen,,52028,,665,0,51,14817.069,006066,2015,FEMALE,IBM
Virginia M. Rometty,,36942,CEO,1600,0,57,26244.43,006066,2016,FEMALE,IBM
"John E. Kelly, III, Ph.D.",,48416,,754.5,0,62,7224.947,006066,2016,MALE,IBM
Martin J. Schroeter,CFO,50060,,754,0,52,6793.968,006066,2016,MALE,IBM
Erich Clementi,,54112,,703.5,0,58,7039.654,006066,2016,MALE,IBM
Martin Jetter,,54113,,650,0,57,7990.804,006066,2016,MALE,IBM
Virginia M. Rometty,,36942,CEO,1600,0,58,18020.517,006066,2017,FEMALE,IBM
"John E. Kelly, III, Ph.D.",,48416,,830.5,0,63,6244.526,006066,2017,MALE,IBM
Martin J. Schroeter,CFO,50060,,828.5,0,53,6460.726,006066,2017,MALE,IBM
Erich Clementi,,54112,,754.5,0,59,6164.769,006066,2017,MALE,IBM
James J. Kavanaugh,,58750,,649,0,50,4824.383,006066,2017,MALE,IBM
Virginia M. Rometty,,36942,CEO,1600,0,59,17552.218,006066,2018,FEMALE,IBM
"John E. Kelly, III, Ph.D.",,48416,,860,0,64,6360.179,006066,2018,MALE,IBM
Martin J. Schroeter,,50060,,905,0,54,7022.7,006066,2018,MALE,IBM
Erich Clementi,,54112,,777,0,60,6174.454,006066,2018,MALE,IBM
James J. Kavanaugh,CFO,58750,,713,0,51,5873.802,006066,2018,MALE,IBM
Virginia M. Rometty,,36942,CEO,1600,0,60,19083.981,006066,2019,FEMALE,IBM
"John E. Kelly, III, Ph.D.",,48416,,868,0,65,6993.741,006066,2019,MALE,IBM
Martin J. Schroeter,,50060,,936,0,55,10214.014,006066,2019,MALE,IBM
James J. Kavanaugh,CFO,58750,,787.5,0,52,7044.511,006066,2019,MALE,IBM
Michelle H. Browdy,,63216,,744.5,0,54,5588.07,006066,2019,FEMALE,IBM
C. Douglas McMillon,,37626,CEO,1263.231,0,50,19404.042,011259,2015,MALE,WMT
"Charles M. Holley, Jr.",CFO,43810,,942.112,0,59,3006.366,011259,2015,MALE,WMT
Neil M. Ashe,,45370,,1000.058,0,48,10831.166,011259,2015,MALE,WMT
Rosalind Gates Brewer,,47137,,921.202,0,54,8434.595,011259,2015,FEMALE,WMT
Gregory S. Foran,,50622,,976.334,0,55,11544.279,011259,2015,MALE,WMT
David Cheesewright,,50623,,1033.037,500.939,54,10171.606,011259,2015,MALE,WMT
M. Brett Biggs,,52598,,623.126,0,48,8613.058,011259,2015,MALE,WMT
C. Douglas McMillon,,37626,CEO,1278.989,0,51,22352.143,011259,2016,MALE,WMT
Gregory S. Foran,,50622,,1006.424,0,56,11553.853,011259,2016,MALE,WMT
David Cheesewright,,50623,,1071.743,0,55,12552.574,011259,2016,MALE,WMT
M. Brett Biggs,CFO,52598,,854.67,0,49,6409.16,011259,2016,MALE,WMT
Marc E. Lore,,54686,,346.154,0,45,243876.539,011259,2016,MALE,WMT
C. Douglas McMillon,,37626,CEO,1276.982,0,52,22791.276,011259,2017,MALE,WMT
Gregory S. Foran,,50622,,1051.426,0,57,11017.752,011259,2017,MALE,WMT
M. Brett Biggs,CFO,52598,,871.087,0,50,7593.171,011259,2017,MALE,WMT
Marc E. Lore,,54686,,1030.77,0,46,10263.963,011259,2017,MALE,WMT
John R. Furner,,59011,,780.827,0,43,12876.788,011259,2017,MALE,WMT
C. Douglas McMillon,,37626,CEO,1276.892,0,53,23618.233,011259,2018,MALE,WMT
Gregory S. Foran,,50622,,1104.201,0,58,13486.493,011259,2018,MALE,WMT
M. Brett Biggs,CFO,52598,,892.948,0,51,9420.414,011259,2018,MALE,WMT
John R. Furner,,59011,,799.425,0,44,9286.777,011259,2018,MALE,WMT
Judith McKenna,,61695,,1044.21,0,52,12922.324,011259,2018,FEMALE,WMT
C. Douglas McMillon,,37626,CEO,1276.892,0,54,22105.35,011259,2019,MALE,WMT
M. Brett Biggs,CFO,52598,,915.358,0,52,8798.492,011259,2019,MALE,WMT
John R. Furner,,59011,,847.895,0,45,9874.823,011259,2019,MALE,WMT
Judith McKenna,,61695,,1066.214,0,53,12206.289,011259,2019,FEMALE,WMT
Suresh Kumar,,64157,,576.923,515.1,55,45898.653,011259,2019,MALE,WMT
Kathryn J. McLay,,64158,,640.409,0,46,13508.708,011259,2019,FEMALE,WMT
Amy E. Hood,CFO,47865,,675.985,1978,43,8754.963,012141,2015,FEMALE,MSFT
Satya Nadella,,47866,CEO,1200,4320,48,18294.27,012141,2015,MALE,MSFT
Bradford L. Smith,,49605,,650,1300,56,6800.682,012141,2015,MALE,MSFT
Margaret L. Johnson,,51594,,539.204,3795,53,14533.595,012141,2015,FEMALE,MSFT
Brian Kevin Turner,,60499,,800,2200,50,3011.171,012141,2015,MALE,MSFT
Amy E. Hood,CFO,47865,,731.25,2304,44,10374.63,012141,2016,FEMALE,MSFT
Satya Nadella,,47866,CEO,1200,4464,49,17692.031,012141,2016,MALE,MSFT
Bradford L. Smith,,49605,,704.167,1972,57,8610.612,012141,2016,MALE,MSFT
Margaret L. Johnson,,51594,,704.167,1909,54,6716.491,012141,2016,FEMALE,MSFT
Brian Kevin Turner,,60499,,866.667,2384,51,12956.75,012141,2016,MALE,MSFT
Amy E. Hood,CFO,47865,,852.917,0,45,11582.144,012141,2017,FEMALE,MSFT
Satya Nadella,,47866,CEO,1450,0,50,20014.152,012141,2017,MALE,MSFT
Bradford L. Smith,,49605,,785.833,0,58,10319.735,012141,2017,MALE,MSFT
Margaret L. Johnson,,51594,,715,0,55,6880.955,012141,2017,FEMALE,MSFT
Jean-Philippe Courtois,,55612,,751.054,0,56,18294.616,012141,2017,MALE,MSFT
Amy E. Hood,CFO,47865,,875,0,46,14924.456,012141,2018,FEMALE,MSFT
Satya Nadella,,47866,CEO,1500,0,51,25843.263,012141,2018,MALE,MSFT
Bradford L. Smith,,49605,,800,0,59,13511.623,012141,2018,MALE,MSFT
Margaret L. Johnson,,51594,,715,0,56,8758.015,012141,2018,FEMALE,MSFT
Jean-Philippe Courtois,,55612,,833,0,57,11126.25,012141,2018,MALE,MSFT
Amy E. Hood,CFO,47865,,958.333,0,47,20227.633,012141,2019,FEMALE,MSFT
Satya Nadella,,47866,CEO,2333.333,0,52,42910.215,012141,2019,MALE,MSFT
Bradford L. Smith,,49605,,850,0,60,17372.997,012141,2019,MALE,MSFT
Margaret L. Johnson,,51594,,715,0,57,10432.649,012141,2019,FEMALE,MSFT
Jean-Philippe Courtois,,55612,,798,0,58,15084.754,012141,2019,MALE,MSFT
Lawrence J. Ellison,,2472,,0.001,0,72,41518.534,012142,2015,MALE,ORCL
Safra Ada Catz,CFO,28123,,950,0,54,40943.812,012142,2015,FEMALE,ORCL
Thomas Kurian,,42928,,800,0,49,35743.145,012142,2015,MALE,ORCL
Mark Vincent Hurd,,44443,CEO,950,0,59,41121.896,012142,2015,MALE,ORCL
John F. Fowler,,46334,,700,0,55,13818.524,012142,2015,MALE,ORCL
Lawrence J. Ellison,,2472,,0.001,0,73,24409.132,012142,2016,MALE,ORCL
Safra Ada Catz,,28123,CEO,950,0,55,40729.965,012142,2016,FEMALE,ORCL
Thomas Kurian,,42928,,800,0,50,35760.008,012142,2016,MALE,ORCL
Mark Vincent Hurd,CFO,44443,,950,0,60,40832.279,012142,2016,MALE,ORCL
John F. Fowler,,46334,,700,0,56,13559.369,012142,2016,MALE,ORCL
Lawrence J. Ellison,,2472,,0.001,0,74,5231.643,012142,2017,MALE,ORCL
Safra Ada Catz,CFO,28123,,950,0,56,4582.333,012142,2017,FEMALE,ORCL
Thomas Kurian,,42928,,800,0,51,29059.89,012142,2017,MALE,ORCL
Mark Vincent Hurd,,44443,CEO,950,0,61,108295.023,012142,2017,MALE,ORCL
Edward Screven,,60500,,600,0,53,12990.599,012142,2017,MALE,ORCL
Lawrence J. Ellison,,2472,,0.001,0,75,1662.828,012142,2018,MALE,ORCL
Jeffrey O. Henley,,2474,,650,0,74,658.615,012142,2018,MALE,ORCL
Safra Ada Catz,CFO,28123,CEO,950,0,57,965.981,012142,2018,FEMALE,ORCL
Mark Vincent Hurd,,44443,,950,0,62,2481.646,012142,2018,MALE,ORCL
Edward Screven,,60500,,700,0,54,34168.619,012142,2018,MALE,ORCL
Dorian E. Daley,,62409,,825,400,60,7999.791,012142,2018,FEMALE,ORCL
Lawrence J. Ellison,,2472,,0.001,0,76,1716.115,012142,2019,MALE,ORCL
Jeffrey O. Henley,,2474,,650,0,75,6103.814,012142,2019,MALE,ORCL
Safra Ada Catz,CFO,28123,CEO,950,0,58,964.055,012142,2019,FEMALE,ORCL
Mark Vincent Hurd,,44443,,356.653,0,63,727.444,012142,2019,MALE,ORCL
Dorian E. Daley,,62409,,875,0,61,10139.922,012142,2019,FEMALE,ORCL
William Corey West,,64745,,530,0,58,5438.942,012142,2019,MALE,ORCL
Jeffrey P. Bezos,,14745,CEO,81.84,0,51,1681.84,064768,2015,MALE,AMZN
Jeffrey A. Wilke,,18635,,172.509,0,48,175.959,064768,2015,MALE,AMZN
Diego Piacentini,,22133,,175,0,54,230.905,064768,2015,MALE,AMZN
Thomas J. Szkutak,,26177,,71.566,0,54,72.997,064768,2015,MALE,AMZN
Andrew R. Jassy,,44221,,171.25,0,47,174.675,064768,2015,MALE,AMZN
Brian T. Olsavsky,CFO,52884,,160,0,51,7786.573,064768,2015,MALE,AMZN
Jeffrey P. Bezos,,14745,CEO,81.84,0,52,1681.84,064768,2016,MALE,AMZN
Jeffrey A. Wilke,,18635,,175,0,49,32958.114,064768,2016,MALE,AMZN
Diego Piacentini,,22133,,110.326,0,55,23730.63,064768,2016,MALE,AMZN
Andrew R. Jassy,,44221,,175,0,48,35609.644,064768,2016,MALE,AMZN
Brian T. Olsavsky,CFO,52884,,160,0,52,4558.647,064768,2016,MALE,AMZN
Jeffrey M. Blackburn,,54972,,171.25,0,46,22194.343,064768,2016,MALE,AMZN
Jeffrey P. Bezos,,14745,CEO,81.84,0,53,1681.84,064768,2017,MALE,AMZN
Jeffrey A. Wilke,,18635,,175,0,50,184.781,064768,2017,MALE,AMZN
Andrew R. Jassy,,44221,,175,0,49,194.447,064768,2017,MALE,AMZN
Brian T. Olsavsky,CFO,52884,,160,0,53,163.2,064768,2017,MALE,AMZN
Jeffrey M. Blackburn,,54972,,175,0,47,178.5,064768,2017,MALE,AMZN
Jeffrey P. Bezos,,14745,CEO,81.84,0,54,1681.84,064768,2018,MALE,AMZN
Jeffrey A. Wilke,,18635,,175,0,51,19722.047,064768,2018,MALE,AMZN
Andrew R. Jassy,,44221,,175,0,50,19732.666,064768,2018,MALE,AMZN
Brian T. Olsavsky,CFO,52884,,160,0,54,6933.349,064768,2018,MALE,AMZN
Jeffrey M. Blackburn,,54972,,175,0,48,10399.662,064768,2018,MALE,AMZN
Jeffrey P. Bezos,,14745,CEO,81.84,0,55,1681.84,064768,2019,MALE,AMZN
Jeffrey A. Wilke,,18635,,175,0,52,210.725,064768,2019,MALE,AMZN
Andrew R. Jassy,,44221,,175,0,51,348.809,064768,2019,MALE,AMZN
Brian T. Olsavsky,CFO,52884,,160,0,55,163.2,064768,2019,MALE,AMZN
Jeffrey M. Blackburn,,54972,,175,0,49,57796.739,064768,2019,MALE,AMZN
Eric E. Schmidt,,31077,,1254.808,6000,59,8038.178,160329,2015,MALE,GOOGL
Sergey Brin,,31078,,0.001,0,41,0.001,160329,2015,MALE,GOOGL
Lawrence Edward Page,,31079,CEO,0.001,0,42,0.001,160329,2015,MALE,GOOGL
Omid R. Kordestani,,31081,,487.5,0,51,16964.44,160329,2015,MALE,GOOGL
"David C. Drummond, J.D.",,32363,,652.5,0,52,672.823,160329,2015,MALE,GOOGL
Patrick Pichette,CFO,37152,,322.501,0,52,56616.991,160329,2015,MALE,GOOGL
Ruth M. Porat,,53037,,395,5000,57,31051.486,160329,2015,FEMALE,GOOGL
Sundar Pichai,,53038,,652.5,0,42,100632.102,160329,2015,MALE,GOOGL
Eric E. Schmidt,,31077,,1250,0,60,1879.106,160329,2016,MALE,GOOGL
Sergey Brin,,31078,,0.001,0,42,0.001,160329,2016,MALE,GOOGL
Lawrence Edward Page,,31079,CEO,0.001,0,43,0.001,160329,2016,MALE,GOOGL
"David C. Drummond, J.D.",,32363,,650,0,53,664.387,160329,2016,MALE,GOOGL
Ruth M. Porat,CFO,53037,,650,0,58,39074.129,160329,2016,FEMALE,GOOGL
Sundar Pichai,,53038,,650,0,43,199718.2,160329,2016,MALE,GOOGL
Diane B. Greene,,55398,,650,0,61,713.623,160329,2016,FEMALE,GOOGL
Eric E. Schmidt,,31077,,1250,0,61,1927.986,160329,2017,MALE,GOOGL
Sergey Brin,,31078,,0.001,0,43,0.001,160329,2017,MALE,GOOGL
Lawrence Edward Page,,31079,CEO,0.001,0,44,0.001,160329,2017,MALE,GOOGL
"David C. Drummond, J.D.",,32363,,650,0,54,664.252,160329,2017,MALE,GOOGL
Ruth M. Porat,CFO,53037,,650,0,59,688.638,160329,2017,FEMALE,GOOGL
Sundar Pichai,,53038,,650,0,44,1333.557,160329,2017,MALE,GOOGL
Eric E. Schmidt,,31077,,1250,0,62,1612.016,160329,2018,MALE,GOOGL
Sergey Brin,,31078,,0.001,0,44,0.001,160329,2018,MALE,GOOGL
Lawrence Edward Page,,31079,CEO,0.001,0,45,0.001,160329,2018,MALE,GOOGL
"David C. Drummond, J.D.",,32363,,650,0,55,47282.232,160329,2018,MALE,GOOGL
Ruth M. Porat,CFO,53037,,650,0,60,47292.004,160329,2018,FEMALE,GOOGL
Sundar Pichai,,53038,,650,0,45,1881.066,160329,2018,MALE,GOOGL
Sergey Brin,,31078,,0.001,0,45,0.001,160329,2019,MALE,GOOGL
Lawrence Edward Page,,31079,,0.001,0,46,0.001,160329,2019,MALE,GOOGL
"David C. Drummond, J.D.",,32363,,650,0,56,660.86,160329,2019,MALE,GOOGL
Ruth M. Porat,CFO,53037,,650,0,61,664.052,160329,2019,FEMALE,GOOGL
Sundar Pichai,,53038,CEO,650,0,46,280621.551,160329,2019,MALE,GOOGL
Mark Elliot Zuckerberg,,48275,CEO,0.001,0,31,5037.841,170617,2015,MALE,FB
Michael T. Schroepfer,,48276,,639.423,943.36,40,11902.628,170617,2015,MALE,FB
Sheryl Kara Sandberg,,48278,,715.385,1265.193,46,18698.969,170617,2015,FEMALE,FB
David M. Wehner,CFO,50979,,665.385,653.365,46,16793.417,170617,2015,MALE,FB
Christopher K. Cox,,50981,,639.423,894.141,32,11853.769,170617,2015,MALE,FB
Michael T. Schroepfer,,48276,,658.846,859.356,41,16459.175,170617,2016,MALE,FB
Sheryl Kara Sandberg,,48278,,738.077,1293.635,47,24549.457,170617,2016,FEMALE,FB
David M. Wehner,CFO,50979,,662.692,940.421,47,16544.275,170617,2016,MALE,FB
Christopher K. Cox,,50981,,658.846,933.209,33,16533.189,170617,2016,MALE,FB
Mark Elliot Zuckerberg,,48275,CEO,0.001,0,33,9101.966,170617,2017,MALE,FB
Michael T. Schroepfer,,48276,,711.539,633.317,42,22426.287,170617,2017,MALE,FB
Sheryl Kara Sandberg,,48278,,795.769,640.378,48,25196.221,170617,2017,FEMALE,FB
David M. Wehner,CFO,50979,,711.539,633.317,48,22426.287,170617,2017,MALE,FB
Christopher K. Cox,,50981,,711.539,567.404,34,22360.374,170617,2017,MALE,FB
Mark Elliot Zuckerberg,,48275,CEO,0.001,0,34,22554.543,170617,2018,MALE,FB
Michael T. Schroepfer,,48276,,753.846,570.744,43,19757.363,170617,2018,MALE,FB
Sheryl Kara Sandberg,,48278,,843.077,638.31,49,23728.418,170617,2018,FEMALE,FB
David M. Wehner,CFO,50979,,753.846,499.494,49,19686.113,170617,2018,MALE,FB
Christopher K. Cox,,50981,,753.846,499.494,35,19686.113,170617,2018,MALE,FB
Mark Elliot Zuckerberg,,48275,CEO,0.001,0,35,23415.973,170617,2019,MALE,FB
Michael T. Schroepfer,,48276,,785.385,1295.885,44,21812.977,170617,2019,MALE,FB
Sheryl Kara Sandberg,,48278,,875.385,902.74,50,27144.147,170617,2019,FEMALE,FB
David M. Wehner,CFO,50979,,785.385,809.928,50,21334.036,170617,2019,MALE,FB
Christopher K. Cox,,50981,,408.981,0,36,418.481,170617,2019,MALE,FB
Jennifer G. Newstead,,64054,,353.077,2291.288,49,19136.745,170617,2019,FEMALE,FB
